series_name,audio_feature,value
Silicon Valley,acousticness,0.0605
Silicon Valley,danceability,0.663
Silicon Valley,energy,0.745
Silicon Valley,instrumentalness,0.000144
Silicon Valley,liveness,0.131
Silicon Valley,speechiness,0.082
Silicon Valley,valence,0.609
Sons of Anarchy,acousticness,0.1445
Sons of Anarchy,danceability,0.4955
Sons of Anarchy,energy,0.6585000000000001
Sons of Anarchy,instrumentalness,0.0005825
Sons of Anarchy,liveness,0.117
Sons of Anarchy,speechiness,0.03795
Sons of Anarchy,valence,0.4525
Vikings,acousticness,0.638
Vikings,danceability,0.236
Vikings,energy,0.226
Vikings,instrumentalness,0.871
Vikings,liveness,0.111
Vikings,speechiness,0.0407
Vikings,valence,0.0451
