series_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,acousticness
Sons of Anarchy,7BMIFNd4EmJKdOvlpg4KSL,0.599,0.911,11.0,-4.557,1.0,0.0492,0.0,0.0713,0.651,77.5,5.93e-05
Sons of Anarchy,2aLlkhTM1z5XbH2sUkHUKG,0.387,0.819,7.0,-4.751,1.0,0.0517,0.00171,0.333,0.588,84.912,0.000531
Sons of Anarchy,7h8Ek6TCKiYtwYuis9IsnN,0.393,0.288,2.0,-13.982,1.0,0.0274,7.87e-05,0.104,0.315,100.208,0.943
Sons of Anarchy,3fSKfGA4zXkzQh1huixeVw,0.492,0.832,11.0,-3.869,1.0,0.052,2.97e-06,0.11,0.488,79.659,0.0338
Sons of Anarchy,6wNuaMA96DLSwVd2PABe06,0.518,0.846,11.0,-3.297,1.0,0.0417,1.33e-06,0.112,0.441,79.95,0.047
Sons of Anarchy,5sym9FUTTMj99eR5UmNUah,0.284,0.981,5.0,-5.436,1.0,0.0835,0.00381,0.337,0.227,167.015,0.000121
Sons of Anarchy,5pemg1FuwvO3rT4tUHvnjs,0.687,0.574,11.0,-9.916,0.0,0.032,0.00751,0.173,0.844,105.235,0.0295
Sons of Anarchy,261spE3XFJEZTt9hSgdJ8y,0.327,0.934,7.0,-4.943,1.0,0.0561,9.27e-05,0.1,0.718,189.919,0.0225
Sons of Anarchy,4udjjSPrTtwcbS678wrqkm,0.527,0.691,10.0,-4.904,0.0,0.0727,0.0,0.175,0.441,78.965,0.441
Sons of Anarchy,3CnZDcx6Bmabo90urAoXuX,0.411,0.769,7.0,-9.969,0.0,0.0779,0.00148,0.0701,0.634,123.826,0.0261
Sons of Anarchy,715jaGqsA2tMbbZtuOC30p,0.708,0.784,0.0,-5.097,0.0,0.0262,0.0002,0.157,0.749,110.86,0.25
Sons of Anarchy,50QJ4wumz9YuiHxBTvdrsV,0.543,0.779,7.0,-7.048,1.0,0.0319,0.0,0.242,0.3,114.343,0.000715
Sons of Anarchy,0nedgLhF1A66H8TGSqLFcf,0.367,0.519,2.0,-5.797,1.0,0.03,0.0,0.0741,0.244,114.815,0.0445
Sons of Anarchy,0yiENuwYAukXj3CW08z7YK,0.496,0.67,2.0,-4.375,1.0,0.025,0.00113,0.265,0.53,84.512,0.0439
Sons of Anarchy,1CE4npuBmWMU6nJbMykXG5,0.308,0.833,2.0,-6.349,0.0,0.08,0.000936,0.0829,0.509,164.329,1.09e-05
Sons of Anarchy,4XIrnawOD9U2DGvrUYYPSS,0.516,0.573,2.0,-6.281,1.0,0.025,0.000684,0.0843,0.457,81.313,0.0402
Sons of Anarchy,6z5X8KEPEV6glUvMfjM0NP,0.615,0.796,9.0,-7.359,1.0,0.0337,8.16e-05,0.057,0.712,119.364,0.00372
Sons of Anarchy,7AnTpD8mbA314VcqkaqbYA,0.712,0.825,6.0,-5.593,0.0,0.0665,0.0,0.155,0.454,165.952,0.000461
Sons of Anarchy,2ZgXVqLMCi7vkYQyGbphGx,0.504,0.816,1.0,-4.862,1.0,0.0505,2.03e-05,0.119,0.794,167.052,0.496
Sons of Anarchy,0aFstQn9r58an4Ndf3Z7W4,0.666,0.479,8.0,-9.236,1.0,0.0248,1.39e-05,0.113,0.64,91.048,0.255
Sons of Anarchy,3Ta1AB4NzZfFMknRODwWg0,0.598,0.347,7.0,-10.858,1.0,0.0397,3.7e-05,0.0899,0.583,77.7,0.749
Sons of Anarchy,0WWlFt5l4rR0g2V3DSbnxs,0.46,0.898,1.0,-3.717,0.0,0.0661,0.0,0.363,0.647,155.942,0.000192
Sons of Anarchy,0pzApNgwXNohjXWncImi7c,0.41,0.917,9.0,-5.28,0.0,0.0564,0.0,0.157,0.392,145.135,0.00639
Sons of Anarchy,1bZBCj0wEsgROwdW05S32m,0.595,0.49,0.0,-5.738,1.0,0.0264,0.00163,0.0964,0.202,111.961,0.511
Sons of Anarchy,5wGmaQYNYxJZrnWykQG3HF,0.665,0.839,3.0,-4.547,1.0,0.0902,0.000168,0.356,0.581,89.043,0.559
Sons of Anarchy,5Y1uViVHZ1BmzwwYBjhjaR,0.398,0.7,11.0,-11.736,0.0,0.0646,7.01e-05,0.0813,0.546,167.793,0.028
Sons of Anarchy,2eHruBEy06Vt7VswO4ROhC,0.292,0.927,7.0,-5.142,0.0,0.081,0.0417,0.178,0.403,92.236,0.000126
Sons of Anarchy,5NYH4oAITUq29ErMMMNWV4,0.347,0.897,2.0,-4.412,1.0,0.0456,9.68e-06,0.208,0.705,146.573,0.000605
Sons of Anarchy,2u0oKEVBOAMO9tjxAN9F6T,0.541,0.527,5.0,-10.334,1.0,0.0532,0.000562,0.28,0.23,114.262,0.0017
Sons of Anarchy,2qCkrKUVpmIxkU6dYYFfKU,0.644,0.324,11.0,-11.913,0.0,0.0639,0.0,0.238,0.971,124.859,0.762
Sons of Anarchy,1pbx4EutDwb0CGi1CXZzkD,0.425,0.204,0.0,-12.381,1.0,0.0393,6.86e-05,0.0654,0.819,180.841,0.898
Sons of Anarchy,4RH87gcPiBZneI200rM6C5,0.736,0.318,7.0,-8.27,0.0,0.0262,0.000138,0.106,0.414,106.222,0.723
